,sensor,model,rows,prov,time_lag,area_ha_101,area_ha_102,area_ha_103,area_ha_104,area_ha_105,area_ha_106,area_ha_107,area_ha_201,area_ha_202,area_ha_203,area_ha_204,area_ha_205,area_ha_206,area_ha_207,area_ha_301,area_ha_302,area_ha_303,area_ha_304,area_ha_305,area_ha_306,area_ha_307,area_ha_401,area_ha_402,area_ha_403,area_ha_404,area_ha_405,area_ha_406,area_ha_407,area_ha_501,area_ha_502,area_ha_503,area_ha_504,area_ha_505,area_ha_506,area_ha_507,area_ha_601,area_ha_602,area_ha_603,area_ha_604,area_ha_605,area_ha_606,area_ha_607,area_ha_701,area_ha_702,area_ha_703,area_ha_704,area_ha_705,area_ha_706,area_ha_707,area_ha_total_nochange,area_ha_total_correct,area_ha_total_true,area_ha_total_incorrect,area_ha_total_all,area_RS,area_BPS,compare_total_RS,compare_total_BPS,pct_101,pct_102,pct_103,pct_104,pct_105,pct_106,pct_107,pct_201,pct_202,pct_203,pct_204,pct_205,pct_206,pct_207,pct_301,pct_302,pct_303,pct_304,pct_305,pct_306,pct_307,pct_401,pct_402,pct_403,pct_404,pct_405,pct_406,pct_407,pct_501,pct_502,pct_503,pct_504,pct_505,pct_506,pct_507,pct_601,pct_602,pct_603,pct_604,pct_605,pct_606,pct_607,pct_701,pct_702,pct_703,pct_704,pct_705,pct_706,pct_707,pct_total_nochange,pct_total_correct,pct_total_true,pct_total_incorrect
1,S2,svmRadialS2,92,35,5,1264134.85,11609.87,8252.92,584.94,3303.66,40103.09,464432.39,13557.15,16145.57,11142.47,1449.03,739.69,9186.86,22196.54,9843.42,8278.31,74214.99,17339.86,8242.47,30940.53,7391.74,661,1002.18,3359.09,88741.33,16067.3,30832.26,464432.39,8215.57,855.84,5447.85,5042.37,38268.13,12196,19088.08,48464.25,10982.56,45718.05,40666.67,19502.57,35074.63,10152.17,24766.55,26309.69,11182.97,4472.92,4048.22,9651.23,1837923.41,3354502.91,912129.78,4266632.69,579582.94,4846215.63,84154.41582,87336,5758.718165,5548.932433,26.08498974,0.239565692,0.170296178,0.012070037,0.068169893,0.827513529,9.583403329,0.279747148,0.333158308,0.229921053,0.029900238,0.01526325,0.18956771,0.458018002,0.203115601,0.170820092,1.531400905,0.357802073,0.170080546,0.638447241,0.152526024,0.013639509,0.020679641,0.069313672,1.831146956,0.331543233,0.636213127,9.583403329,0.169525474,0.017659965,0.112414519,0.104047578,0.789649758,0.251660284,0.393875994,1.000043203,0.226621365,0.943376306,0.83914281,0.402428854,0.723752979,0.209486551,0.511049278,0.542891444,0.230756756,0.092297173,0.083533633,0.199149826,37.92492019,69.21901884,18.82148566,88.0405045,11.9594955
2,S2,svmRadialS2,88,35,10,1141897.31,10405.28,8751.91,1278.47,4013.69,29926.15,420046.47,10145.65,15148,12575.85,1997.39,616,7791.73,24072.38,11716.35,6701.46,59824.7,28203.62,7322.96,23989.01,13518.69,998.09,1033.81,2979.94,74016,23529.18,17897.84,420046.47,15926.27,675.33,4308.06,4529.4,24899.59,7856.67,28167.06,44693.31,10813.63,30157.86,28594.82,16039.75,51607.78,27911.55,24766.55,27860.07,21473.84,8964.43,7122.71,16259.16,1687117.69,3054511.07,847973.65,3902484.72,567705.21,4470189.93,84154.41582,87336,5311.889919,5118.381801,25.54471573,0.232770423,0.195783851,0.028599903,0.089787908,0.669460369,9.39661349,0.226962392,0.338867033,0.281326973,0.044682441,0.013780175,0.174304227,0.53850911,0.262099602,0.149914436,1.338303315,0.63092666,0.163817648,0.536644088,0.302418694,0.022327687,0.023126758,0.066662492,1.655768573,0.526357501,0.400382093,9.39661349,0.356277256,0.015107412,0.096373086,0.101324554,0.55701414,0.175756962,0.630108797,0.999807854,0.241905381,0.674643818,0.639677966,0.35881585,1.154487411,0.624392933,0.55403798,0.623241304,0.480378694,0.200538012,0.159337972,0.363724143,37.74152142,68.33067762,18.96952173,87.30019935,12.69980065
3,S2,svmRadialS2,84,35,15,1007953.39,11056.2,11016.6,1655.85,4907.17,24889.81,447369.55,13850.76,13219.59,13517.47,3594.93,639.57,5810.97,20382.8,11587.72,5324.66,43068.81,36053.94,7415.06,26101.08,17575.82,1311.76,1051.58,2406.49,51682.73,28411.54,19352.36,447369.55,25374,689.57,3384.39,3565.07,14775.45,6748.4,30266.19,43223.95,9111.36,27088.19,32987.23,15668.06,27439.56,37355.57,24766.55,25316.64,26635.02,10445.25,8422.03,21201.27,1466879.55,2625019.08,905009.39,3530028.47,609892.59,4139921.06,84154.41582,87336,4919.434137,4740.222886,24.34716448,0.267063063,0.266106523,0.039997139,0.118532936,0.601214604,10.80623383,0.3345658,0.319319857,0.326515163,0.086835714,0.015448845,0.140364271,0.492347552,0.279901955,0.128617428,1.040329257,0.870884722,0.179111145,0.630472891,0.42454481,0.031685628,0.025400967,0.058128886,1.248398925,0.686282168,0.467457222,10.80623383,0.612910237,0.016656598,0.08175011,0.086114444,0.356901733,0.163007939,0.731081331,1.044076671,0.220085356,0.654316583,0.796808188,0.378462772,0.662803942,0.902325659,0.598237252,0.611524704,0.643370239,0.252305536,0.203434555,0.512117736,35.4325488,63.407467,21.86054702,85.26801402,14.73198598
4,S2,svmRadialS2,80,35,20,908716.78,9410.39,13689,2899.73,5593.05,19298.13,416122.21,14402.46,11218.29,12303.71,5264.14,812.07,5800.95,19069.79,13697.14,4976.06,32623.16,42374.16,7066.77,20654.75,19895.81,3797.75,632.49,2088.99,35938.24,29893.82,13474.24,416122.21,35389.98,675.89,2875.42,3117.59,7989.76,5271.81,25876.96,37010.51,8600.17,21372.81,27259.58,13287.46,35194.97,46747.43,24766.55,24439.24,30768.38,10999.08,9679.27,21658.25,1356876.23,2388557.43,854433.21,3242990.64,594702.99,3837693.63,84154.41582,87336,4560.299769,4394.17151,23.67872133,0.245209517,0.356698614,0.075559184,0.145739878,0.502857494,10.84302839,0.375289468,0.29231854,0.320601673,0.137169365,0.021160366,0.151157194,0.496907566,0.356910721,0.129662774,0.850072026,1.104156926,0.184141067,0.538207371,0.518431431,0.098959176,0.016480993,0.054433475,0.936454117,0.778952748,0.351102545,10.84302839,0.922167932,0.01761188,0.074925731,0.081236031,0.20819171,0.137369225,0.674284153,0.964394597,0.224097357,0.556918088,0.710311521,0.346235559,0.917086495,1.218112609,0.645349848,0.636821027,0.801741436,0.286606516,0.252215808,0.564355889,35.35655424,62.23939846,22.26423713,84.50363559,15.49636441
5,S2,svmRadialS2,76,35,25,711194.32,9871.54,15357.66,3449.43,6181.7,22955.55,459098.79,13534.37,9522.86,12007.19,6074.84,930.64,4766.91,19441.11,14328.4,3540.03,21961.61,44531.69,7025.74,21675.92,23107.36,8620.38,1304.54,1906.97,21255.14,28347.92,10212.54,459098.79,42443.01,913,2223.98,2303.97,4538.62,4378.6,21114.23,52359.96,8408.94,21247.48,32904.42,14087.85,14560.94,44824.43,24766.55,22024.63,35058.14,12419.41,11128.29,18391.03,1166151.3,1949184.79,916475.52,2865660.31,651892.41,3517552.72,84154.41582,87336,4179.878959,4027.609142,20.21844096,0.28063659,0.436600706,0.098063349,0.17573866,0.652600027,13.05165342,0.384766657,0.270724016,0.341350676,0.172700752,0.026457031,0.135517798,0.552688518,0.407340021,0.100639003,0.62434345,1.265985006,0.199733751,0.61622161,0.656915812,0.245067542,0.03708658,0.054212976,0.604259316,0.805898938,0.29033083,13.05165342,1.206606223,0.025955546,0.063225207,0.065499232,0.129027775,0.124478589,0.600253406,1.488533767,0.239056545,0.604041551,0.93543502,0.40050146,0.413950868,1.274307269,0.704084685,0.626135036,0.996662816,0.353069619,0.316364555,0.522835945,33.15234747,55.41309385,26.05435065,81.4674445,18.5325555
6,S2,svmRadialS2,72,35,30,671243.65,7816.5,19089.44,4576.94,6637.63,18739.32,426290.3,10997.84,9143.06,11967.64,7709.79,1043.03,2526.71,21978.94,16164.06,3031.34,19468.18,53644.09,9120.47,7597.59,22546.74,22800.03,514.41,1781.37,12590.07,29081.81,4022,426290.3,48625.31,796,2071.52,1920.5,3427.22,2584.11,15831.27,42404.44,7021.34,11845.13,19215.9,9712.12,39815.29,50345.54,24766.55,22579.44,33778.25,12033.26,10438.55,18022.36,1098155.82,1853843.29,828410.95,2682254.24,641548.93,3323803.17,84154.41582,87336,3949.647963,3805.765286,20.19504813,0.235167355,0.574325224,0.137701896,0.199699852,0.563791508,12.82537738,0.330881206,0.275078262,0.360058625,0.231956876,0.031380619,0.076018641,0.661258771,0.48631219,0.091200948,0.585720002,1.613937025,0.274398619,0.228581225,0.678341612,0.685962099,0.015476548,0.053594329,0.378785065,0.874955842,0.121005962,12.82537738,1.462941923,0.02394847,0.062323787,0.057780196,0.103111401,0.077745578,0.476299865,1.27578072,0.211244157,0.356372787,0.578129902,0.292199011,1.197883508,1.514696792,0.745126854,0.679325425,1.016253017,0.36203287,0.314054397,0.542221037,33.03913511,55.77476148,24.92358625,80.69834773,19.30165227
1,S2,svmRadialS2,70,32,5,1118871.89,3308.05,63161.34,2285.53,10840.96,202920.63,103473.05,2307.02,30401.59,47307.46,791.77,1039.94,43601.73,3001.19,74896.03,54268.47,1260504.57,89653.4,64004.01,470531.48,15473.98,1380.76,710.65,15416.87,444854.58,112215.84,140461.42,103473.05,87041.33,502.25,48791.65,33031.54,406269.68,117863.71,7409.28,203221.19,33217.33,485847.35,156493.56,123354.28,377116.07,10508.91,18048.34,3294.92,19614.77,321.4,4132.97,7409.26,587045.48,4225063.86,2462582.53,6687646.39,524046.14,7211692.53,84154.41582,87336,8569.594905,8257.411068,15.51469208,0.045870647,0.875818537,0.031692006,0.150324767,2.813772622,1.43479564,0.031989994,0.421559708,0.655982764,0.010978976,0.014420193,0.604597739,0.041615612,1.038536095,0.752506707,17.47862329,1.243167254,0.887503311,6.524563798,0.214567939,0.01914613,0.009854136,0.21377603,6.168518391,1.556026405,1.94769008,1.43479564,1.206947324,0.006964385,0.676563092,0.458027569,5.633485875,1.634341862,0.102739821,2.817940298,0.460603802,6.736939324,2.169997672,1.71047614,5.229231119,0.145720439,0.250264968,0.045688581,0.271985667,0.004456651,0.057309293,0.102739544,8.140190081,58.58630054,34.14708156,92.7333821,7.266617896
3,S2,svmRadialS2,67,32,10,923862.83,5464.76,89584.92,2527.94,11017.68,228080.29,110753.44,2235.49,17260.92,63045.76,2011.2,1244.19,37001.61,2895.2,85643.85,48615.67,1088558.23,168854.28,68477,484847.13,24506.32,1662.38,691.23,12956.39,327430.34,184220.54,145869.86,110753.44,157044.53,1073.36,60202.07,29987.89,286512.58,126405.17,10755.62,261911.19,44037.91,445645.05,171389.68,137240.67,295711.67,11897.2,18048.34,3514.01,29037.34,514.73,4202.37,11818.21,529378.49,3468715.06,2819335.89,6288050.95,598350.02,6886400.97,84154.41582,87336,8183.05362,7884.951189,13.41575714,0.079355821,1.300896076,0.036709161,0.159991845,3.312039061,1.60829206,0.032462385,0.250652265,0.915511023,0.029205386,0.018067348,0.537314196,0.04204228,1.243666327,0.705966298,15.80736055,2.451996053,0.994380088,7.040646226,0.355865424,0.024140041,0.010037609,0.188144577,4.754738236,2.675135253,2.118230708,1.60829206,2.280502264,0.015586661,0.874216739,0.435465349,4.160556163,1.835576676,0.156186374,3.803310193,0.639490936,6.471378183,2.488813543,1.992923017,4.294139584,0.172763684,0.262086685,0.051028251,0.421662057,0.007474587,0.061024184,0.171616641,7.687302733,50.37050667,40.94062925,91.31113592,8.688864076
5,S2,svmRadialS2,64,32,15,854874.3,6646.19,95220.48,1900.43,12766.48,229733.36,114334.44,2652.07,15002.53,61169.59,6030.16,1587.68,33373.94,2791.76,82646.85,38022.19,906194.57,230093.64,67901.26,562349.26,31091.95,2673.28,695.12,15747.46,241257.62,246364.99,137357.17,114334.44,227399.96,1651.76,68981.62,23742.86,181271.71,130187.22,10913.83,221215.57,42489.08,457947.41,167650.87,145633.12,218312.42,18430.49,18048.34,3470.23,38761.23,848.76,3173.59,13527.18,477807.31,2894720.46,3069112.53,5963832.99,622444.78,6586277.77,84154.41582,87336,7826.41969,7541.309162,12.97962719,0.100909652,1.445740422,0.028854386,0.193834521,3.488060601,1.735949257,0.040266598,0.227784654,0.928742943,0.091556418,0.024105877,0.506719291,0.042387523,1.254833958,0.577294055,13.75882709,3.493530763,1.030950445,8.538195315,0.472071648,0.040588631,0.010554064,0.239094987,3.663034394,3.740580015,2.08550527,1.735949257,3.452632396,0.025078809,1.047353641,0.360489807,2.752263362,1.976643326,0.165705583,3.358734292,0.645115215,6.953053394,2.545457022,2.211159703,3.314655525,0.279831654,0.274029439,0.052688789,0.58851496,0.012886793,0.048184879,0.205384293,7.254587898,43.95078011,46.59858933,90.54936944,9.450630565
7,S2,svmRadialS2,61,32,20,793848.01,7544.92,99227.28,2364.65,13462.47,213555.94,112969.56,2886.66,14628.76,53397.64,16604.12,2444.34,26927.19,2316.06,76584.09,48003.33,789057.11,280963.05,72665.44,557029.6,35279.23,8610.09,684.6,17691.88,157355.26,298111.01,124658.11,112969.56,285461.87,2820.68,76432.36,19154.22,98411.62,127365.86,10171.94,174222.85,22112.91,429959.12,159007.89,130552.83,254908.38,20264.62,18048.34,3532.08,42712.7,1171.07,2898.66,16611.37,437465.77,2545674.91,3061564.67,5607239.58,667887.52,6275127.1,84154.41582,87336,7456.681909,7185.040648,12.65070806,0.120235334,1.581279206,0.037682902,0.214537009,3.40321298,1.800275249,0.046001618,0.233122928,0.850941171,0.264602131,0.038952837,0.429109874,0.036908575,1.220438866,0.764977812,12.57436061,4.477408115,1.157991525,8.876785938,0.562207417,0.13720981,0.010909739,0.2819366,2.507602754,4.750676843,1.986543189,1.800275249,4.549101005,0.044950165,1.218020907,0.305240351,1.568280904,2.029693709,0.162099346,2.776403525,0.352389834,6.851799384,2.533938954,2.080481047,4.06220266,0.32293561,0.287617123,0.056286987,0.680666691,0.018662092,0.046192849,0.264717666,6.97142485,40.56770276,48.788887,89.35658977,10.64341023
9,S2,svmRadialS2,58,32,25,702234.28,8957.33,118251.45,2393.52,13959.9,162527.93,106898.95,3057.57,12513.28,47901.15,24891.51,1876.32,14406.15,2171.31,77014.9,51980.98,796231.12,346549.05,82590.1,397202.5,37302.11,35684.45,727.67,25870.59,91683.33,316226.65,96014.31,106898.95,306229.48,3657.62,85265.53,14637.7,47866.51,115651.97,10775.38,199270.04,17612.51,377275.56,152105.1,149077.71,271062.28,21341.24,18048.34,3618.1,44836.55,2103.3,3428.74,17799.73,397710.59,2319301.39,2874404.64,5193706.03,749685.31,5943391.34,84154.41582,87336,7062.483034,6805.202139,11.81538014,0.150710756,1.989629207,0.040271957,0.23488105,2.734599166,1.798618733,0.051444871,0.210541075,0.80595652,0.418809878,0.031569855,0.24238939,0.036533182,1.295807319,0.874601335,13.39691557,5.83083008,1.389612349,6.683095177,0.627623319,0.600405525,0.012243347,0.435283301,1.542609678,5.320643247,1.615480195,1.798618733,5.152436757,0.061540959,1.434627557,0.246285314,0.805373688,1.945891889,0.181300194,3.352800255,0.296337713,6.347816228,2.559230771,2.508293691,4.560734175,0.359075127,0.303670732,0.060876018,0.754393366,0.035388886,0.057689959,0.299487767,6.691644,39.02319833,48.36303847,87.38623679,12.61376321
11,S2,svmRadialS2,55,32,30,611450.92,8330.94,115539.25,2199.44,12610.62,142698.24,102864.19,3189.02,9563.38,40786.36,25288.84,1879.28,17980.19,1868.97,73799.91,42786.61,691407.12,372987.74,106015.71,384814.41,37313.29,86032.62,407.16,28340.58,38686.07,288439.89,88503.79,102864.19,288879.48,3022.66,78439.3,8971.39,31021.09,122040.23,10437.77,227470.88,22359.45,369510.19,162338.17,148576.48,228900.11,25437.97,18048.34,3384.45,46191.98,3314.48,4632.82,17782.12,361637.38,1972666.07,2852100.84,4824766.91,796278.56,5621045.47,84154.41582,87336,6679.442089,6436.115084,10.87788603,0.148209796,2.055476167,0.039128664,0.224346522,2.538642336,1.82998324,0.056733574,0.170135254,0.725600962,0.449895667,0.033432926,0.319872702,0.033249509,1.31292142,0.761185979,12.3003296,6.635558136,1.886049678,6.845957964,0.663814057,1.530544815,0.007243492,0.504186991,0.688236205,5.131427802,1.574507633,1.82998324,5.139248233,0.053773982,1.39545749,0.159603583,0.551874027,2.171130453,0.185690901,4.046771748,0.397780984,6.573691531,2.888042284,2.643217899,4.072198156,0.452548732,0.321085109,0.06021033,0.821768481,0.058965543,0.082419187,0.31634898,6.433631998,35.09429128,50.73968633,85.83397761,14.16602239
